Water Name,County,Spieces,Quanty,Average Length,Date Stocked,Latitude,Longitude
ABERDUNK L FL,SEVIER,TIGER TROUT,103,2.68,06/24/2024,38.7333524,-111.6660725
ABES RES,SEVIER,CUTTHROAT,100,1.93,09/12/2024,38.7333524,-111.6660725
ACADEMY MILL RES,SANPETE,TIGER TROUT,3006,2.68,06/25/2024,39.2828823,-111.3711362
ADAMS RESERVOIR,DAVIS,RAINBOW,1102,9.68,03/05/2024,41.0717888,-111.933991
AMERICAN FK CR,UTAH,RAINBOW,1000,10.15,06/19/2024,40.3768954,-111.7957645
"AMERICAN FK CR, N FK",UTAH,RAINBOW,675,10.15,06/19/2024,40.3768954,-111.7957645
ANDERSON MEADOW,BEAVER,TIGER TROUT,1499,10.19,06/11/2024,38.2100813,-112.4334304
ANDREWS #1,SANPETE,BROOK TROUT,175,2.71,07/01/2024,39.3090085,-111.5706786
ANDREWS #2,SANPETE,BROOK TROUT,50,2.71,07/01/2024,39.3090085,-111.5706786
ANGEL L WR-19,DUCHESNE,MUSKIE TIGER,150,5.93,06/26/2024,40.2172448,-110.5215459
ANNABELLA RES,SEVIER,RAINBOW,402,10.24,06/04/2024,38.7091363,-112.0599249
ANTIMONY L EMW,GARFIELD,RAINBOW,100,3.56,07/23/2024,38.1169284,-111.99964
ASAY CR,GARFIELD,BROWN TROUT,6370,3.46,05/14/2024,37.8400344,-111.2845025
"ASHLEY CR, S FK",UINTAH,RAINBOW,603,11.16,07/02/2024,40.1069499,-109.3783206
ASHLEY TWIN L GR-35,UINTAH,BROOK TROUT,2097,2.93,06/26/2024,40.1069499,-109.3783206
ASPEN MIRROR L,KANE,RAINBOW,522,10.19,05/13/2024,37.5239067,-112.6740577
ATWINE L X-64,DUCHESNE,BROOK TROUT,1350,2.93,06/26/2024,40.2172448,-110.5215459
AVERETT CYN P,WASATCH,CUTTHROAT,101,7.99,08/12/2024,39.9752352,-111.0762776
BAKER L BR-45,SUMMIT,TIGER TROUT,360,2.78,07/08/2024,40.8297566,-110.9983515
BAKER RES,WASHINGTON,CRAPPIE BLACK,36921,1.85,05/14/2024,37.3224877,-113.4776098
BAKER SP,BOX ELDER,RAINBOW,500,11.63,04/11/2024,41.5380087,-113.1918021
BAR M SP,BOX ELDER,RAINBOW,500,11.63,04/11/2024,41.7950042,-112.1641058
BARKER RES NCL,GARFIELD,BROOK TROUT,499,2.62,06/25/2024,37.92161960000001,-111.8281665
"BARKER RES,LOWER NCL",GARFIELD,SPLAKE,95,2.65,06/25/2024,37.92161960000001,-111.8281665
